Show_Id,Category,Title,Country,Rating,Duration,Genre,Release_Day,Release_Month,Release_Year
s52,TV Show,100 Days My Prince,South Korea,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas",7,December,2020
s53,Movie,100 Days Of Solitude,Spain,TV-MA,93,"Documentaries, International Movies",6,July,2018
s54,TV Show,100 Humans,United States,TV-14,1,"Docuseries, Science & Nature TV",13,March,2020
s55,Movie,100 Meters,"Portugal, Spain",TV-MA,109,"Dramas, International Movies, Sports Movies",10,March,2017
s56,Movie,100 Things to do Before High School,United States,TV-Y,44,Movies,2,November,2019
s57,Movie,100 Years: One Woman's Fight for Justice,United States,TV-14,75,Documentaries,20,March,2018
s58,Movie,100% Halal,Indonesia,TV-14,101,"Dramas, International Movies",7,January,2021
s59,TV Show,100% Hotter,United Kingdom,TV-14,1,"British TV Shows, International TV Shows, Reality TV",1,November,2019
s60,Movie,1000 Rupee Note,India,TV-14,89,"Dramas, International Movies",1,December,2016
s61,Movie,12 ROUND GUN,United States,TV-MA,90,"Dramas, Independent Movies, Sports Movies",14,March,2019
s62,TV Show,12 Years Promise,South Korea,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",22,May,2017
s63,Movie,13 Cameras,United States,NR,90,"Horror Movies, Independent Movies, Thrillers",13,August,2016
s64,TV Show,13 Reasons Why,United States,TV-MA,4,"Crime TV Shows, TV Dramas, TV Mysteries",5,June,2020
s65,TV Show,13 Reasons Why: Beyond the Reasons,United States,TV-MA,3,"Crime TV Shows, Docuseries",23,August,2019
s66,Movie,13 Sins,United States,R,93,"Horror Movies, Thrillers",13,January,2019
s67,Movie,13TH,United States,TV-MA,101,Documentaries,7,October,2016
s69,Movie,14 Blades,"Hong Kong, China, Singapore",R,113,"Action & Adventure, International Movies",3,April,2019
s70,Movie,14 Cameras,United States,TV-MA,89,"Horror Movies, Thrillers",27,October,2018
s71,Movie,14 Minutes from Earth,United States,TV-MA,84,Documentaries,1,February,2019
s72,Movie,16 Blocks,"United States, Germany",PG-13,102,Action & Adventure,1,November,2019
s73,Movie,17 Again,United States,PG-13,102,Comedies,1,January,2021
s74,Movie,18 Presents,Italy,TV-MA,114,"Dramas, Independent Movies, International Movies",8,May,2020
s75,Movie,1898: Our Last Men in the Philippines,Spain,R,130,"Dramas, International Movies",2,June,2017
s76,Movie,1BR,United States,TV-MA,90,"Horror Movies, Independent Movies, Thrillers",23,August,2020
s77,Movie,1st Summoning,United States,TV-MA,94,"Horror Movies, Independent Movies",26,July,2019
s78,Movie,2 Alone in Paris,France,TV-MA,97,"Comedies, International Movies",1,June,2020
s79,Movie,2 States,India,TV-PG,143,"Comedies, Dramas, International Movies",4,August,2018
s80,Movie,20 Feet From Stardom,United States,PG-13,91,"Documentaries, Music & Musicals",22,September,2018
s81,TV Show,20 Minutes,Turkey,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas",15,August,2017
s82,Movie,2015 Dream Concert,South Korea,TV-PG,107,"International Movies, Music & Musicals",28,April,2017
s83,Movie,2036 Origin Unknown,United Kingdom,TV-14,95,Sci-Fi & Fantasy,20,December,2018
s84,Movie,20th Century Women,United States,R,119,"Dramas, Independent Movies",28,June,2019
s85,Movie,21 & Over,United States,R,93,Comedies,16,April,2019
s86,TV Show,21 Again,United Kingdom,TV-MA,1,"British TV Shows, Reality TV",1,July,2020
s87,TV Show,21 Sarfarosh: Saragarhi 1897,India,TV-14,1,"International TV Shows, TV Dramas",1,December,2018
s88,TV Show,21 Thunder,Canada,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas",1,March,2018
s89,Movie,2307: Winter's Dream,United States,TV-MA,101,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",1,March,2018
s90,Movie,24 Hours to Live,"South Africa, China, United States",R,93,Action & Adventure,7,April,2018
s91,Movie,25 Kille,India,TV-14,140,"Action & Adventure, Dramas, International Movies",1,October,2018
s92,Movie,26 Years,South Korea,TV-MA,135,"Dramas, International Movies, Thrillers",1,October,2017
s93,Movie,"27, el club de los malditos",Argentina,TV-MA,82,"Action & Adventure, Comedies, International Movies",1,May,2018
s94,Movie,27: Gone Too Soon,United Kingdom,TV-MA,70,Documentaries,1,May,2018
s95,Movie,28 Days,United States,PG-13,104,"Comedies, Dramas",30,September,2020
s96,TV Show,28 Moons,South Korea,TV-PG,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",10,June,2017
s97,Movie,3 Days to Kill,"United States, France, Serbia",PG-13,117,Action & Adventure,1,December,2020
s98,Movie,3 Deewarein,Unknown,TV-MA,121,"Dramas, International Movies, Thrillers",31,December,2019
s99,Movie,3 Generations,United States,PG-13,92,"Dramas, LGBTQ Movies",28,August,2017
s100,Movie,3 Heroines,Indonesia,TV-PG,124,"Dramas, International Movies, Sports Movies",5,January,2019
s101,Movie,3 Idiots,India,PG-13,164,"Comedies, Dramas, International Movies",1,August,2019
s102,Movie,3 Seconds Divorce,Canada,TV-PG,53,"Documentaries, Faith & Spirituality",15,June,2019
s103,Movie,3 Türken & ein Baby,Germany,TV-MA,93,"Comedies, International Movies",15,December,2016
s104,Movie,30 Days of Luxury,Egypt,TV-14,91,"Comedies, International Movies",18,April,2019
s105,Movie,30 Minutes or Less,United States,R,83,"Action & Adventure, Comedies",1,January,2021
s106,Movie,300 Miles to Heaven,"Denmark, France, Poland",TV-14,93,"Dramas, International Movies",1,October,2019
s107,Movie,365 Days,Poland,TV-MA,114,"Dramas, International Movies, Romantic Movies",7,June,2020
s108,Movie,37 Seconds,Japan,TV-MA,116,"Dramas, International Movies",31,January,2020
s109,TV Show,3Below: Tales of Arcadia,United States,TV-Y7,2,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",12,July,2019
s110,Movie,40 Sticks,Kenya,TV-14,93,"International Movies, Thrillers",20,November,2020
s111,Movie,42 Grams,United States,TV-MA,81,Documentaries,1,February,2018
s112,TV Show,44 Cats,Italy,TV-Y7,2,Kids' TV,1,October,2020
s113,TV Show,45 rpm,Spain,TV-MA,1,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",16,August,2019
s114,Movie,48 Christmas Wishes,Canada,TV-G,84,"Children & Family Movies, Comedies",20,December,2017
s115,Movie,4L,Spain,TV-MA,105,"Comedies, Dramas, Independent Movies",12,July,2019
s116,Movie,4th Man Out,United States,NR,86,"Comedies, LGBTQ Movies",5,May,2016
s117,Movie,4th Republic,Nigeria,TV-MA,120,"Dramas, International Movies, Thrillers",13,June,2020
s118,Movie,5 Cowok Jagoan,Unknown,TV-MA,106,"Action & Adventure, Comedies, International Movies",5,January,2019
s119,Movie,5 Flights Up,United States,PG-13,92,"Comedies, Dramas, Independent Movies",17,March,2019
s120,Movie,5 Star Christmas,Italy,TV-14,96,"Comedies, International Movies",7,December,2018
s121,Movie,5 to 7,United States,R,97,"Comedies, Dramas, Romantic Movies",16,March,2017
s122,Movie,50 First Dates,United States,PG-13,99,"Comedies, Romantic Movies",1,December,2020
s123,Movie,50/50,United States,R,100,"Comedies, Dramas, Independent Movies",1,June,2019
s124,Movie,5CM,Indonesia,TV-14,126,"Dramas, International Movies",28,September,2018
s125,Movie,5Gang,Romania,TV-14,96,"Comedies, International Movies",27,April,2020
s126,Movie,6 Balloons,United States,TV-MA,75,"Dramas, Independent Movies",6,April,2018
s127,Movie,6 Days,"New Zealand, United Kingdom",R,94,"Action & Adventure, Dramas, International Movies",8,February,2018
s128,Movie,6 Underground,United States,R,129,"Action & Adventure, Dramas",13,December,2019
s129,Movie,6 Years,United States,TV-MA,80,"Dramas, Independent Movies, Romantic Movies",8,September,2015
s130,Movie,6-5=2,India,TV-MA,103,"Horror Movies, International Movies, Thrillers",1,November,2017
s131,TV Show,60 Days In,United States,TV-MA,1,Reality TV,1,November,2020
s132,Movie,68 Kill,United States,R,96,"Comedies, Independent Movies, Thrillers",1,September,2019
s133,TV Show,7 (Seven),India,TV-14,1,TV Shows,30,July,2019
s134,Movie,7 años,Spain,TV-MA,77,"Dramas, International Movies",27,October,2016
s135,TV Show,7 Days Out,United States,TV-PG,1,Docuseries,21,December,2018
s136,Movie,7 Din Mohabbat In,Pakistan,TV-PG,137,"Comedies, International Movies, Music & Musicals",15,May,2019
s137,Movie,7 Khoon Maaf,India,TV-MA,148,"Dramas, International Movies, Thrillers",2,August,2018
s138,TV Show,72 Cutest Animals,Australia,TV-PG,1,"Docuseries, International TV Shows, Science & Nature TV",1,June,2016
s139,TV Show,72 Dangerous Animals: Asia,Australia,TV-14,1,"Docuseries, International TV Shows, Science & Nature TV",10,August,2018
s140,TV Show,72 Dangerous Animals: Latin America,"Australia, United States",TV-14,1,"Docuseries, International TV Shows, Science & Nature TV",22,December,2017
s141,TV Show,72 Dangerous Places to Live,Australia,TV-PG,1,"Docuseries, International TV Shows, Science & Nature TV",1,June,2016
s142,TV Show,7SEEDS,Unknown,TV-MA,2,"Anime Series, International TV Shows",26,March,2020
s143,TV Show,9 Months That Made You,United States,TV-PG,1,"British TV Shows, Docuseries, Science & Nature TV",1,March,2017
s144,Movie,90 ML,India,TV-MA,123,"Comedies, International Movies, Music & Musicals",13,August,2019
s145,Movie,93 Days,Nigeria,TV-PG,121,"Dramas, International Movies, Thrillers",5,March,2020
s146,Movie,A 2nd Chance,Australia,PG,95,"Children & Family Movies, Dramas, Sports Movies",1,July,2017
s147,Movie,A 3 Minute Hug,"Mexico, United States",TV-PG,28,"Documentaries, International Movies",28,October,2019
s148,Movie,A Babysitter's Guide to Monster Hunting,United States,TV-PG,99,Children & Family Movies,15,October,2020
s149,Movie,A Bad Moms Christmas,"United States, China",R,104,Comedies,14,February,2020
s150,Movie,A Beautiful Life,"China, Hong Kong",TV-14,122,"Dramas, International Movies, Romantic Movies",1,December,2018
s151,Movie,A Billion Colour Story,India,TV-14,104,"Dramas, Independent Movies, International Movies",1,April,2018
s152,Movie,A Boy Called Po,United States,PG,94,"Dramas, Sci-Fi & Fantasy",15,January,2018
s153,TV Show,A Boy Name Flora A,Taiwan,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas",1,September,2017
s154,Movie,A Bridge Too Far,"United States, United Kingdom",PG,176,"Action & Adventure, Classic Movies, Dramas",1,July,2020
s155,Movie,A California Christmas,United States,PG-13,107,"Comedies, Romantic Movies",14,December,2020
s156,Movie,A Champion Heart,United States,G,90,"Children & Family Movies, Dramas",14,April,2020
s157,Movie,A Chaster Marriage,Turkey,TV-14,94,"Comedies, International Movies, Romantic Movies",2,October,2020
s158,Movie,A Choo,Taiwan,TV-14,101,"Action & Adventure, International Movies, Romantic Movies",14,October,2020
s159,Movie,A Christmas Catch,Canada,TV-G,87,"Dramas, Romantic Movies",4,November,2020
s160,Movie,A Christmas Prince,United States,TV-PG,92,"Children & Family Movies, Dramas, Romantic Movies",17,November,2017
s161,Movie,A Christmas Prince: The Royal Baby,United States,TV-PG,85,"Children & Family Movies, Dramas, Romantic Movies",5,December,2019
s162,Movie,A Christmas Prince: The Royal Wedding,United States,TV-PG,93,"Children & Family Movies, Dramas, Romantic Movies",30,November,2018
s163,Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,"France, South Korea, Japan",TV-Y7,22,Movies,20,December,2016
s164,Movie,A Cinderella Story,"United States, Canada",PG,95,"Children & Family Movies, Comedies",1,January,2020
s165,Movie,A Cinderella Story: Christmas Wish,United States,PG,86,"Children & Family Movies, Comedies, Music & Musicals",1,December,2019
s166,Movie,A Clockwork Orange,"United Kingdom, United States",R,137,"Classic Movies, Cult Movies, Dramas",1,November,2020
s167,Movie,A Dangerous Woman,United States,R,101,"Dramas, Romantic Movies",1,April,2018
s168,Movie,A Fairly Odd Summer,United States,TV-Y7,68,"Children & Family Movies, Comedies",2,November,2019
s169,Movie,A Fall from Grace,United States,TV-MA,121,"Dramas, Thrillers",17,January,2020
s170,Movie,A Family Affair,"Netherlands, Denmark, South Africa",TV-PG,111,"Documentaries, International Movies",16,October,2016
s171,Movie,A Family Man,"Canada, United States",R,110,Dramas,15,December,2019
s172,Movie,A Family Reunion Christmas,United States,TV-PG,29,Movies,9,December,2019
s173,Movie,A Flying Jatt,India,TV-14,142,"Action & Adventure, International Movies, Sci-Fi & Fantasy",15,November,2017
s174,Movie,A Fortunate Man,Denmark,TV-MA,168,"Dramas, International Movies",20,April,2019
s175,Movie,A Futile and Stupid Gesture,United States,TV-MA,102,Comedies,26,January,2018
s176,Movie,A Ghost Story,United States,R,92,"Dramas, Independent Movies",7,January,2020
s177,Movie,A Glimpse Inside the Mind of Charles Swan III,United States,R,86,"Comedies, Independent Movies",15,July,2018
s178,Movie,A Go! Go! Cory Carson Christmas,United States,TV-Y,22,Children & Family Movies,27,November,2020
s179,Movie,A Go! Go! Cory Carson Halloween,Unknown,TV-Y,22,Children & Family Movies,2,October,2020
s180,Movie,A Go! Go! Cory Carson Summer Camp,Unknown,TV-Y,21,Children & Family Movies,4,August,2020
s181,TV Show,A Good Wife,Taiwan,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas",1,January,2017
s182,Movie,A Grand Night In: The Story of Aardman,United Kingdom,TV-PG,59,Documentaries,1,November,2016
s183,Movie,A Gray State,United States,TV-MA,93,Documentaries,25,December,2017
s184,Movie,A Haunted House,United States,R,86,"Comedies, Horror Movies",21,February,2020
s185,Movie,A Haunting at Silver Falls: The Return,United States,TV-14,80,"Horror Movies, Independent Movies",17,September,2019
s186,Movie,A Heavy Heart,Germany,TV-MA,109,"Dramas, Independent Movies, International Movies",15,February,2017
s187,Movie,A Holiday Engagement,United States,TV-G,92,"Children & Family Movies, Comedies, Romantic Movies",4,November,2019
s188,Movie,A Home with A View,Hong Kong,TV-MA,92,"Comedies, International Movies",30,April,2019
s189,TV Show,A House of Blocks,Taiwan,TV-PG,1,"International TV Shows, TV Dramas, TV Horror",1,September,2017
s190,Movie,A Kid from Coney Island,"United States, China",TV-MA,89,"Documentaries, Sports Movies",6,July,2020
s191,Movie,A Kind of Murder,United States,R,96,Thrillers,1,May,2017
s192,TV Show,A Korean Odyssey,South Korea,TV-MA,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",5,March,2019
s193,Movie,A Land Imagined,"France, Netherlands, Singapore",TV-MA,95,"Dramas, International Movies",13,April,2019
s194,Movie,A Leaf of Faith,United States,TV-MA,87,Documentaries,27,August,2018
s195,Movie,A Life of Speed: The Juan Manuel Fangio Story,Argentina,TV-14,93,"Documentaries, International Movies, Sports Movies",20,March,2020
s196,TV Show,A Lion in the House,United States,TV-14,1,TV Shows,10,November,2020
s197,Movie,A Little Chaos,United Kingdom,R,113,"Dramas, Independent Movies, International Movies",17,April,2019
s198,TV Show,A Little Help with Carol Burnett,United States,TV-G,1,"Stand-Up Comedy & Talk Shows, TV Comedies",4,May,2018
s199,TV Show,A Little Thing Called First Love,China,TV-G,1,"International TV Shows, Romantic TV Shows, Teen TV Shows",26,October,2019
s200,TV Show,A Love So Beautiful,South Korea,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Comedies",28,December,2020
s201,Movie,A Love Song for Latasha,United States,TV-PG,20,Documentaries,21,September,2020
s202,Movie,A Love Story,Philippines,TV-14,117,"Dramas, International Movies, Romantic Movies",14,March,2019
s203,TV Show,A Man Called God,South Korea,TV-14,1,"Crime TV Shows, International TV Shows, Korean TV Shows",12,March,2019
s204,Movie,A Mighty Team,France,TV-MA,97,"Comedies, International Movies, Sports Movies",15,October,2016
s205,Movie,A Mission in an Old Movie,Unknown,TV-MA,98,"Comedies, International Movies",25,April,2019
s206,Movie,A Monster Calls,"United Kingdom, Spain, United States",PG-13,108,"Dramas, Sci-Fi & Fantasy",16,January,2021
s207,Movie,A Most Violent Year,"United Arab Emirates, United States",R,125,"Dramas, Thrillers",22,July,2018
s208,Movie,A Murder in the Park,United States,PG-13,91,Documentaries,28,April,2017
s209,Movie,A new Capitalism,Brazil,TV-14,76,"Documentaries, International Movies",12,June,2018
s210,Movie,A New York Christmas Wedding,United States,TV-MA,90,"Dramas, LGBTQ Movies, Romantic Movies",5,November,2020
s211,Movie,A Night at the Roxbury,United States,PG-13,82,"Comedies, Cult Movies",1,December,2019
s212,Movie,A Noble Intention,Netherlands,TV-MA,111,"Dramas, International Movies",1,September,2016
s213,Movie,A Patch of Fog,United Kingdom,TV-MA,92,"Dramas, Thrillers",15,April,2017
s214,TV Show,A Perfect Crime,Germany,TV-14,1,"Crime TV Shows, Docuseries, International TV Shows",25,September,2020
s215,Movie,A Perfect Ending,United States,TV-MA,110,"Dramas, Independent Movies, LGBTQ Movies",1,January,2019
s216,Movie,A Perfect Man,United States,R,94,"Dramas, Independent Movies, Romantic Movies",6,June,2019
s217,Movie,A Plastic Ocean,"United Kingdom, Hong Kong",TV-14,100,Documentaries,4,October,2019
s218,Movie,A Princess for Christmas,United States,TV-PG,91,"Children & Family Movies, Dramas, Romantic Movies",28,August,2020
s219,TV Show,A Queen Is Born,Brazil,TV-14,1,"International TV Shows, Reality TV",11,November,2020
s220,Movie,A Remarkable Tale,Spain,TV-MA,94,"Comedies, International Movies",1,November,2019
s221,Movie,A Russell Peters Christmas,Canada,NR,44,Stand-Up Comedy,1,November,2013
s222,Movie,A Scandall,India,TV-MA,108,"International Movies, Thrillers",15,October,2017
s223,Movie,A Second Chance,Philippines,TV-MA,130,"Dramas, International Movies, Romantic Movies",27,February,2019
s224,Movie,A Secret Love,United States,TV-14,83,"Documentaries, LGBTQ Movies",29,April,2020
s225,Movie,A Separation,"Iran, France",PG-13,123,"Dramas, International Movies",16,March,2019
s226,TV Show,A Series of Unfortunate Events,United States,TV-PG,3,"Kids' TV, TV Action & Adventure, TV Comedies",1,January,2019
s227,Movie,A Serious Man,"United States, United Kingdom, France",R,106,"Comedies, Independent Movies",16,January,2018
s228,Movie,A Shaun the Sheep Movie: Farmageddon,"United Kingdom, France, Belgium, United States, China",G,87,"Children & Family Movies, Comedies",14,February,2020
s229,Movie,A Silent Voice,Japan,TV-14,130,"Anime Features, International Movies",5,June,2019
s230,Movie,A Single Man,United States,R,100,"Dramas, Independent Movies, LGBTQ Movies",11,November,2019
s231,Movie,A Sort of Family,"Argentina, Brazil, France, Poland, Germany, Denmark",TV-14,96,"Dramas, International Movies, Thrillers",1,April,2018
s232,Movie,A Sort of Homecoming,United States,TV-PG,89,"Dramas, Independent Movies",1,August,2017
s233,Movie,A Stoning in Fulham County,United States,TV-14,95,Dramas,1,October,2011
s234,Movie,A StoryBots Christmas,United States,TV-Y,26,"Children & Family Movies, Comedies",1,December,2017
s235,Movie,A Sun,Taiwan,TV-MA,156,"Dramas, Independent Movies, International Movies",24,January,2020
s236,TV Show,A Taiwanese Tale of Two Cities,Taiwan,TV-MA,1,"International TV Shows, TV Dramas",27,January,2019
s237,Movie,A Tale of Love and Darkness,"Israel, United States",PG-13,98,"Dramas, International Movies",25,October,2019
s238,Movie,A Tale of Two Kitchens,"United States, Mexico",TV-PG,30,"Documentaries, International Movies",22,May,2019
s239,Movie,A Thin Line Between Love & Hate,United States,R,108,"Comedies, Romantic Movies",1,December,2020
s240,TV Show,A Thousand Goodnights,Taiwan,TV-14,1,"International TV Shows, TV Dramas",1,June,2019
s241,Movie,A Thousand Words,United States,PG-13,92,Comedies,1,July,2020
s242,TV Show,A Touch of Green,Taiwan,TV-MA,1,"International TV Shows, TV Dramas",1,July,2020
s243,Movie,A Trash Truck Christmas,Unknown,TV-Y,28,Children & Family Movies,11,December,2020
s244,Movie,A Trip to Jamaica,Nigeria,TV-MA,99,"Comedies, International Movies",13,December,2019
s245,Movie,A truthful Mother,India,TV-Y7,85,Children & Family Movies,31,March,2020
s246,Movie,A Twelve Year Night,"Uruguay, Argentina, Spain",TV-MA,122,"Dramas, International Movies",28,December,2018
s247,Movie,A Very Country Christmas,"United States, Canada",TV-G,84,"Music & Musicals, Romantic Movies",15,November,2020
s248,Movie,A Very Murray Christmas,United States,TV-14,57,"Comedies, Music & Musicals",4,December,2015
s249,TV Show,A Very Secret Service,France,TV-MA,2,"International TV Shows, TV Comedies",30,July,2018
s250,Movie,A Very Special Love,Philippines,TV-G,107,"International Movies, Romantic Movies",12,November,2020
s251,Movie,A Walk to Remember,United States,PG,102,"Dramas, Romantic Movies",1,July,2020
s252,Movie,A Wednesday,India,TV-MA,103,"Action & Adventure, Dramas, International Movies",1,November,2018
s253,Movie,A Week in Watts,United States,TV-14,91,Documentaries,19,February,2018
s254,Movie,A Whisker Away,Japan,TV-PG,104,"Anime Features, Children & Family Movies, International Movies",18,June,2020
s255,Movie,A Witches' Ball,Canada,PG,91,Children & Family Movies,1,October,2018
s256,Movie,A Wrinkle in Time,United States,PG,110,Children & Family Movies,25,September,2018
s257,TV Show,A Year In Space,United States,TV-PG,1,"Docuseries, International TV Shows, Science & Nature TV",1,November,2019
s258,Movie,A Yellow Bird,"Singapore, France",TV-MA,111,"Dramas, Independent Movies, International Movies",1,May,2017
s260,TV Show,A.D. Kingdom and Empire,United States,TV-14,1,TV Dramas,15,December,2017
s261,TV Show,A.I.C.O.,Japan,TV-14,1,"Anime Series, International TV Shows",9,March,2018
s262,Movie,A.M.I.,Canada,TV-MA,77,Horror Movies,1,October,2020
s263,Movie,A.X.L.,United States,PG,99,"Action & Adventure, Children & Family Movies, Independent Movies",20,March,2019
s264,Movie,Aşk Tesadüfleri Sever,Turkey,TV-MA,122,"Dramas, International Movies, Romantic Movies",4,April,2018
s265,Movie,Aadu 2,India,TV-MA,150,"Comedies, International Movies",15,May,2018
s266,Movie,Aagey Se Right,India,TV-14,117,"Comedies, International Movies, Music & Musicals",1,November,2018
s267,Movie,Aajcha Divas Majha,India,TV-PG,126,"Comedies, Dramas, International Movies",1,January,2018
s268,Movie,Aakhri Adaalat,India,TV-14,148,"Action & Adventure, International Movies",1,September,2017
s269,Movie,Aalorukkam,India,TV-PG,122,"Dramas, Independent Movies, International Movies",15,November,2018
s270,Movie,Aamir,India,TV-14,95,"International Movies, Thrillers",1,November,2018
s271,Movie,Aapla Manus,India,TV-14,133,"Dramas, International Movies, Thrillers",10,September,2020
s272,Movie,Aarakshan,India,TV-14,164,"Dramas, International Movies",31,December,2019
s273,Movie,Aashayein,India,TV-14,115,"Dramas, International Movies",22,October,2017
s274,Movie,Aashik Awara,India,TV-14,154,"Dramas, International Movies, Music & Musicals",1,June,2017
s275,Movie,Aata Pita,India,TV-14,133,"Comedies, Dramas, International Movies",1,January,2018
s276,Movie,Aaviri,India,TV-14,110,"Horror Movies, International Movies, Thrillers",31,December,2019
s277,TV Show,Abby Hatcher,"United States, Canada",TV-Y,1,Kids' TV,1,July,2020
s278,Movie,Abby Sen,India,TV-PG,127,"Comedies, Dramas, International Movies",1,May,2017
